KARTE        PROFIL                  MINUTEN LAEUFE  TITEL
t_787b4825   esf-estimator                 2      1  S2 F4 2/4 — Schätzung F-R1-4
t_8cc6d17a   esf-dev-b                    25      1  S2 F4 3/4 — Umsetzung F-R1-4 E2E-Netz J-05 + J-06
t_1d5462b9   esf-reviewer                 11      1  S2 F4 4/4 — Review F-R1-4
t_90fdf0f6   esf-qa-release                4      1  S2 Merge F3 — F-R1-3 am Riegel
t_c35344ff   esf-qa-release                8      1  S2 Merge F4 — F-R1-4 am Riegel
t_94142e50   esf-controller               25      1  Kalibrierung S2
t_a5303420   esf-chief-of-staff           55      2  Sprint-Abschluss S2
t_a91fb621   esf-qa-release               18      1  Release-Abschluss R1
t_d85e4216   esf-chief-of-staff           14      2  GATE Release — R1
t_28c5032d   esf-qa-release               58      3  Auflage R1-a — Journey-Katalog nachziehen (J-03) und Regel verankern
t_c735aff4   esf-controller                8      1  Auflage R1-b — die zwei Ledger-Luecken im R2-Controller-Report benennen
t_2616e83d   esf-architect                 5      1  Auflage R1-c — praeexistenter Palette-Keydown-Handler
t_0b6f6f2b   esf-dev-a                    28      1  S3 W 1/1 — Wartung: Palette-Keydown-Guard
t_eb272a28   esf-architect                21      1  S3 F1 1/5 — Spezifikation F-R1-1 Import CSV + WeKan
t_5d4b570f   esf-estimator                 7      1  S3 F1 2/5 — Schätzung F-R1-1
t_de53e678   esf-dev-a                    49      1  S3 F1 3/5 — Umsetzung F-R1-1 Import CSV + WeKan
t_4ebb816f   esf-reviewer                 17      1  S3 F1 4/5 — Review F-R1-1
t_e027226a   esf-qa-release                9      1  S3 F1 5/5 — Merge F-R1-1 am Riegel
t_16af6589   esf-controller                8      1  Kalibrierung S3
t_88a4c431   esf-chief-of-staff           10      1  Sprint-Abschluss S3
t_66f18d66   esf-chief-of-staff           19      1  Neuschnitt R2 — gegen gemessene Intervalle
t_cc17fedf   esf-chief-of-staff           35      3  GATE Roadmap — Neuschnitt R2
t_954918ae   esf-architect                14      1  S4 F1b 1/4 — Spezifikation F-R1-1b WeKan-Import
t_c8a338ba   esf-architect                65      2  S4 F2 1/4 — Spezifikation F-R2-1 MCP-Agentenkanal haerten
t_c04e1420   esf-estimator                10      1  S4 Schätzung — F-R1-1b und F-R2-1
t_fa08a5b5   esf-dev-a                    66      1  S4 F1b 2/4 — Umsetzung F-R1-1b WeKan-Import
t_e66652b4   esf-dev-b                   204      2  S4 F2 2/4 — Umsetzung F-R2-1 MCP-Agentenkanal
t_4798143b   esf-reviewer                 61      1  S4 F1b 3/4 — Review F-R1-1b
t_740896e8   esf-reviewer                 17      1  S4 F2 3/4 — Review F-R2-1
t_9ef532cc   esf-qa-release               12      1  S4 Merge F1b — F-R1-1b am Riegel
t_c0bd7173   esf-qa-release                3      1  S4 Merge F2 — F-R2-1 am Riegel
t_a37e2da8   esf-controller               20      1  Kalibrierung S4
t_1e586edb   esf-chief-of-staff            7      1  Sprint-Abschluss S4
t_4b497229   esf-dev-b                    25      1  S4 F2 Nacharbeit — H3-Guard akzeptiert VIRTUAL_STATUSES planned/archived
t_20eb1d94   esf-reviewer                 15      1  S4 F2 4/4 — Review F-R2-1 (zweiter Anlauf, nach Nacharbeit)
t_d9599f2a   esf-qa-release               14      1  S4 Merge F2 — F-R2-1 am Riegel (zweiter Anlauf)
t_669af104   esf-product-manager           1      1  Probelauf 1/4 — Spezifikation
t_ac33af63   esf-dev-a                    54      1  Probelauf 2/4 — Bau
t_dc72a309   esf-reviewer                 12      1  Probelauf 3/4 — Review
t_e2ed027a   esf-chief-of-staff           78      2  GATE Roadmap — Probelauf 4/4
t_db7f50c2   esf-chief-of-staff            1      1  GATE Budget — S4

Summe Kartenzeit: 1494 Minuten   (Summe der Spalte oben, nachrechenbar)
Genau 91545 Sekunden = 1525.8 Minuten; die Differenz von 31.8 Minuten ist der
Rundungsverlust je Karte (floor), nicht ein Messfehler.
