event_id,ts,category,duration_ms,outcome,account
ev_00037,2026-07-01T12:19:00,email,2252,ok,acct_122
ev_00038,2026-07-01T12:26:00,upload,1826,ok,acct_130
ev_00039,2026-07-01T12:33:00,settings,3723,ok,acct_118
ev_00040,2026-07-01T12:40:00,checkout,1153,ok,acct_133
ev_00041,2026-07-01T12:47:00,search,577,ok,acct_110
ev_00042,2026-07-01T12:54:00,signup,1819,ok,acct_100
ev_00043,2026-07-01T13:01:00,billing,3565,ok,acct_107
ev_00044,2026-07-01T13:08:00,export,571,ok,acct_108
ev_00045,2026-07-01T13:15:00,dashboard,3184,ok,acct_116
ev_00046,2026-07-01T13:22:00,api,1977,error,acct_111
ev_00047,2026-07-01T13:29:00,email,3899,slow,acct_119
ev_00048,2026-07-01T13:36:00,upload,2329,ok,acct_102
ev_00049,2026-07-01T13:43:00,settings,2707,ok,acct_131
ev_00050,2026-07-01T13:50:00,checkout,171,slow,acct_108
ev_00051,2026-07-01T13:57:00,search,3725,ok,acct_124
ev_00052,2026-07-01T14:04:00,signup,307,error,acct_110
ev_00053,2026-07-01T14:11:00,billing,94,ok,acct_124
ev_00054,2026-07-01T14:18:00,export,3010,ok,acct_101
ev_00055,2026-07-01T14:25:00,dashboard,3738,ok,acct_131
ev_00056,2026-07-01T14:32:00,api,2547,ok,acct_123
ev_00057,2026-07-01T14:39:00,email,1005,error,acct_109
ev_00058,2026-07-01T14:46:00,upload,1273,ok,acct_139
ev_00059,2026-07-01T14:53:00,settings,3752,ok,acct_122
ev_00060,2026-07-01T15:00:00,checkout,2926,error,acct_117
ev_00061,2026-07-01T15:07:00,search,1576,ok,acct_124
ev_00062,2026-07-01T15:14:00,signup,3121,ok,acct_138
ev_00063,2026-07-01T15:21:00,billing,1286,error,acct_115
ev_00064,2026-07-01T15:28:00,export,562,error,acct_139
ev_00065,2026-07-01T15:35:00,dashboard,3837,ok,acct_136
ev_00066,2026-07-01T15:42:00,api,3110,ok,acct_128
ev_00067,2026-07-01T15:49:00,email,1367,ok,acct_113
ev_00068,2026-07-01T15:56:00,upload,1748,ok,acct_132
ev_00069,2026-07-01T16:03:00,settings,2746,ok,acct_113
ev_00070,2026-07-01T16:10:00,checkout,4132,ok,acct_113
ev_00071,2026-07-01T16:17:00,search,2701,ok,acct_132
ev_00072,2026-07-01T16:24:00,signup,796,ok,acct_126
ev_00073,2026-07-01T16:31:00,billing,1534,ok,acct_132
ev_00074,2026-07-01T16:38:00,export,3478,ok,acct_138
ev_00075,2026-07-01T16:45:00,dashboard,3321,ok,acct_101
ev_00076,2026-07-01T16:52:00,api,2151,ok,acct_109
ev_00077,2026-07-01T16:59:00,email,1283,ok,acct_117
ev_00078,2026-07-01T17:06:00,upload,1541,error,acct_129
ev_00079,2026-07-01T17:13:00,settings,3957,error,acct_101
ev_00080,2026-07-01T17:20:00,checkout,1763,error,acct_140
ev_00081,2026-07-01T17:27:00,search,3054,slow,acct_115
ev_00082,2026-07-01T17:34:00,signup,4039,slow,acct_122
ev_00083,2026-07-01T17:41:00,billing,2855,ok,acct_122
ev_00084,2026-07-01T17:48:00,export,586,ok,acct_133
ev_00085,2026-07-01T17:55:00,dashboard,1810,ok,acct_126
ev_00086,2026-07-01T18:02:00,api,1207,slow,acct_130
ev_00087,2026-07-01T18:09:00,email,3021,error,acct_107
ev_00088,2026-07-01T18:16:00,upload,2267,ok,acct_115
ev_00089,2026-07-01T18:23:00,settings,3226,slow,acct_114
ev_00090,2026-07-01T18:30:00,checkout,4184,error,acct_135
ev_00091,2026-07-01T18:37:00,search,2761,ok,acct_111
ev_00092,2026-07-01T18:44:00,signup,2691,ok,acct_138
ev_00093,2026-07-01T18:51:00,billing,1233,ok,acct_137
ev_00094,2026-07-01T18:58:00,export,3211,error,acct_104
ev_00095,2026-07-01T19:05:00,dashboard,2939,ok,acct_118
ev_00096,2026-07-01T19:12:00,api,713,error,acct_119
ev_00097,2026-07-01T19:19:00,email,319,ok,acct_138
ev_00098,2026-07-01T19:26:00,upload,1391,ok,acct_133
ev_00099,2026-07-01T19:33:00,settings,3465,ok,acct_119
ev_00100,2026-07-01T19:40:00,checkout,971,error,acct_108
ev_00101,2026-07-01T19:47:00,search,3522,ok,acct_132
ev_00102,2026-07-01T19:54:00,signup,1449,slow,acct_107
ev_00103,2026-07-01T20:01:00,billing,1475,ok,acct_106
ev_00104,2026-07-01T20:08:00,export,2738,error,acct_111
ev_00105,2026-07-01T20:15:00,dashboard,1183,ok,acct_140
ev_00106,2026-07-01T20:22:00,api,1296,slow,acct_125
ev_00107,2026-07-01T20:29:00,email,1918,ok,acct_105
ev_00108,2026-07-01T20:36:00,upload,3969,ok,acct_100
ev_00109,2026-07-01T20:43:00,settings,3252,ok,acct_120
ev_00110,2026-07-01T20:50:00,checkout,1880,ok,acct_110
ev_00111,2026-07-01T20:57:00,search,4039,slow,acct_140
ev_00112,2026-07-01T21:04:00,signup,225,slow,acct_136
ev_00113,2026-07-01T21:11:00,billing,2062,ok,acct_136
ev_00114,2026-07-01T21:18:00,export,3486,ok,acct_127
ev_00115,2026-07-01T21:25:00,dashboard,1350,ok,acct_101
ev_00116,2026-07-01T21:32:00,api,1046,ok,acct_127
ev_00117,2026-07-01T21:39:00,email,3754,ok,acct_109
ev_00118,2026-07-01T21:46:00,upload,1634,ok,acct_102
ev_00119,2026-07-01T21:53:00,settings,3426,ok,acct_132
ev_00120,2026-07-01T22:00:00,checkout,304,ok,acct_121
ev_00121,2026-07-01T22:07:00,search,1305,slow,acct_107
ev_00122,2026-07-01T22:14:00,signup,1986,ok,acct_112
ev_00123,2026-07-01T22:21:00,billing,3993,ok,acct_119
ev_00124,2026-07-01T22:28:00,export,637,error,acct_123
ev_00125,2026-07-01T22:35:00,dashboard,3030,slow,acct_139
ev_00126,2026-07-01T22:42:00,api,796,ok,acct_122
ev_00127,2026-07-01T22:49:00,email,1078,ok,acct_140
ev_00128,2026-07-01T22:56:00,upload,917,ok,acct_123
ev_00129,2026-07-01T23:03:00,settings,144,error,acct_134
ev_00130,2026-07-01T23:10:00,checkout,3923,ok,acct_109
ev_00131,2026-07-01T23:17:00,search,594,ok,acct_137
ev_00132,2026-07-01T23:24:00,signup,3174,slow,acct_133
ev_00133,2026-07-01T23:31:00,billing,2776,error,acct_118
ev_00134,2026-07-01T23:38:00,export,1963,error,acct_115
ev_00135,2026-07-01T23:45:00,dashboard,938,ok,acct_140
ev_00136,2026-07-01T23:52:00,api,202,ok,acct_111
ev_00137,2026-07-01T23:59:00,email,1958,slow,acct_105
ev_00138,2026-07-02T00:06:00,upload,1576,ok,acct_123
ev_00139,2026-07-02T00:13:00,settings,2458,ok,acct_130
ev_00140,2026-07-02T00:20:00,checkout,305,ok,acct_130
ev_00141,2026-07-02T00:27:00,search,3676,ok,acct_129
ev_00142,2026-07-02T00:34:00,signup,3870,ok,acct_135
ev_00143,2026-07-02T00:41:00,billing,1272,ok,acct_124
ev_00144,2026-07-02T00:48:00,export,2751,slow,acct_112
ev_00145,2026-07-02T00:55:00,dashboard,3539,ok,acct_123
ev_00146,2026-07-02T01:02:00,api,1673,error,acct_121
ev_00147,2026-07-02T01:09:00,email,944,slow,acct_114
ev_00148,2026-07-02T01:16:00,upload,1622,ok,acct_102
ev_00149,2026-07-02T01:23:00,settings,3387,error,acct_112
ev_00150,2026-07-02T01:30:00,checkout,2500,ok,acct_109
ev_00151,2026-07-02T01:37:00,search,955,ok,acct_137
ev_00152,2026-07-02T01:44:00,signup,3098,error,acct_140
ev_00153,2026-07-02T01:51:00,billing,3311,ok,acct_121
ev_00154,2026-07-02T01:58:00,export,1445,ok,acct_127
ev_00155,2026-07-02T02:05:00,dashboard,2482,slow,acct_133
ev_00156,2026-07-02T02:12:00,api,1104,ok,acct_101
ev_00157,2026-07-02T02:19:00,email,2270,ok,acct_129
ev_00158,2026-07-02T02:26:00,upload,2634,ok,acct_111
ev_00159,2026-07-02T02:33:00,settings,864,ok,acct_101
ev_00160,2026-07-02T02:40:00,checkout,1119,ok,acct_104
ev_00161,2026-07-02T02:47:00,search,786,ok,acct_122
ev_00162,2026-07-02T02:54:00,signup,1117,error,acct_125
ev_00163,2026-07-02T03:01:00,billing,2151,error,acct_108
ev_00164,2026-07-02T03:08:00,export,573,ok,acct_118
ev_00165,2026-07-02T03:15:00,dashboard,674,slow,acct_123
ev_00166,2026-07-02T03:22:00,api,4089,ok,acct_124
ev_00167,2026-07-02T03:29:00,email,465,ok,acct_122
ev_00168,2026-07-02T03:36:00,upload,2785,error,acct_118
ev_00169,2026-07-02T03:43:00,settings,2404,ok,acct_137
ev_00170,2026-07-02T03:50:00,checkout,3563,ok,acct_140
ev_00171,2026-07-02T03:57:00,search,2020,ok,acct_118
ev_00172,2026-07-02T04:04:00,signup,2673,slow,acct_125
ev_00173,2026-07-02T04:11:00,billing,2011,ok,acct_129
ev_00174,2026-07-02T04:18:00,export,3913,slow,acct_111
ev_00175,2026-07-02T04:25:00,dashboard,4199,error,acct_139
ev_00176,2026-07-02T04:32:00,api,2809,slow,acct_132
ev_00177,2026-07-02T04:39:00,email,539,ok,acct_103
ev_00178,2026-07-02T04:46:00,upload,3132,ok,acct_109
ev_00179,2026-07-02T04:53:00,settings,2471,error,acct_105
ev_00180,2026-07-02T05:00:00,checkout,1900,slow,acct_130
ev_00181,2026-07-02T05:07:00,search,4200,ok,acct_108
ev_00182,2026-07-02T05:14:00,signup,2171,ok,acct_123
ev_00183,2026-07-02T05:21:00,billing,1661,ok,acct_133
ev_00184,2026-07-02T05:28:00,export,1836,slow,acct_128
ev_00185,2026-07-02T05:35:00,dashboard,3363,ok,acct_135
ev_00186,2026-07-02T05:42:00,api,1431,ok,acct_107
ev_00187,2026-07-02T05:49:00,email,375,error,acct_103
ev_00188,2026-07-02T05:56:00,upload,3625,error,acct_131
ev_00189,2026-07-02T06:03:00,settings,2275,slow,acct_130
ev_00190,2026-07-02T06:10:00,checkout,3874,slow,acct_127
ev_00191,2026-07-02T06:17:00,search,1173,ok,acct_116
ev_00192,2026-07-02T06:24:00,signup,1305,ok,acct_126
ev_00193,2026-07-02T06:31:00,billing,818,slow,acct_129
ev_00194,2026-07-02T06:38:00,export,2392,error,acct_111
ev_00195,2026-07-02T06:45:00,dashboard,1833,ok,acct_104
ev_00196,2026-07-02T06:52:00,api,1670,ok,acct_126
ev_00197,2026-07-02T06:59:00,email,2383,ok,acct_104
ev_00198,2026-07-02T07:06:00,upload,2630,ok,acct_122
ev_00199,2026-07-02T07:13:00,settings,881,ok,acct_114
ev_00200,2026-07-02T07:20:00,checkout,1792,ok,acct_139
ev_00201,2026-07-02T07:27:00,search,2789,ok,acct_110
ev_00202,2026-07-02T07:34:00,signup,2209,ok,acct_140
ev_00203,2026-07-02T07:41:00,billing,2369,ok,acct_111
ev_00204,2026-07-02T07:48:00,export,3516,ok,acct_118
ev_00205,2026-07-02T07:55:00,dashboard,3237,ok,acct_136
ev_00206,2026-07-02T08:02:00,api,4195,ok,acct_128
ev_00207,2026-07-02T08:09:00,email,825,ok,acct_109
ev_00208,2026-07-02T08:16:00,upload,1230,slow,acct_105
ev_00209,2026-07-02T08:23:00,settings,678,error,acct_138
ev_00210,2026-07-02T08:30:00,checkout,294,slow,acct_107
ev_00211,2026-07-02T08:37:00,search,3300,ok,acct_108
ev_00212,2026-07-02T08:44:00,signup,3288,ok,acct_119
ev_00213,2026-07-02T08:51:00,billing,308,ok,acct_135
ev_00214,2026-07-02T08:58:00,export,3152,ok,acct_104
ev_00215,2026-07-02T09:05:00,dashboard,3194,error,acct_134
ev_00216,2026-07-02T09:12:00,api,2041,slow,acct_113
ev_00217,2026-07-02T09:19:00,email,2675,ok,acct_129
ev_00218,2026-07-02T09:26:00,upload,3278,ok,acct_132
ev_00219,2026-07-02T09:33:00,settings,1101,ok,acct_129
ev_00220,2026-07-02T09:40:00,checkout,1333,ok,acct_131
ev_00221,2026-07-02T09:47:00,search,472,error,acct_101
ev_00222,2026-07-02T09:54:00,signup,1950,ok,acct_135
ev_00223,2026-07-02T10:01:00,billing,3516,ok,acct_129
ev_00224,2026-07-02T10:08:00,export,2877,ok,acct_101
ev_00225,2026-07-02T10:15:00,dashboard,236,error,acct_102
ev_00226,2026-07-02T10:22:00,api,3426,ok,acct_120
ev_00227,2026-07-02T10:29:00,email,2394,slow,acct_136
ev_00228,2026-07-02T10:36:00,upload,3487,ok,acct_117
ev_00229,2026-07-02T10:43:00,settings,3396,slow,acct_118
ev_00230,2026-07-02T10:50:00,checkout,2530,error,acct_119
ev_00231,2026-07-02T10:57:00,search,416,ok,acct_125
ev_00232,2026-07-02T11:04:00,signup,413,ok,acct_107
ev_00233,2026-07-02T11:11:00,billing,3013,ok,acct_135
ev_00234,2026-07-02T11:18:00,export,4121,slow,acct_118
ev_00235,2026-07-02T11:25:00,dashboard,3495,ok,acct_103
ev_00236,2026-07-02T11:32:00,api,1916,ok,acct_139
ev_00237,2026-07-02T11:39:00,email,1453,error,acct_139
ev_00238,2026-07-02T11:46:00,upload,2452,slow,acct_130
ev_00239,2026-07-02T11:53:00,settings,1751,ok,acct_108
ev_00240,2026-07-02T12:00:00,checkout,1744,ok,acct_130
ev_00241,2026-07-02T12:07:00,search,196,ok,acct_114
ev_00242,2026-07-02T12:14:00,signup,3281,ok,acct_117
ev_00243,2026-07-02T12:21:00,billing,652,ok,acct_107
ev_00244,2026-07-02T12:28:00,export,257,ok,acct_126
ev_00245,2026-07-02T12:35:00,dashboard,2425,ok,acct_128
ev_00246,2026-07-02T12:42:00,api,4129,ok,acct_101
ev_00247,2026-07-02T12:49:00,email,1529,ok,acct_137
ev_00248,2026-07-02T12:56:00,upload,2619,error,acct_107
ev_00249,2026-07-02T13:03:00,settings,1939,error,acct_103
ev_00250,2026-07-02T13:10:00,checkout,2794,error,acct_133
ev_00251,2026-07-02T13:17:00,search,556,ok,acct_115
ev_00252,2026-07-02T13:24:00,signup,604,ok,acct_109
ev_00253,2026-07-02T13:31:00,billing,3474,slow,acct_107
ev_00254,2026-07-02T13:38:00,export,3713,ok,acct_137
ev_00255,2026-07-02T13:45:00,dashboard,300,ok,acct_139
ev_00256,2026-07-02T13:52:00,api,3289,ok,acct_117
ev_00257,2026-07-02T13:59:00,email,2714,ok,acct_114
ev_00258,2026-07-02T14:06:00,upload,3966,error,acct_113
ev_00259,2026-07-02T14:13:00,settings,3026,ok,acct_140
ev_00260,2026-07-02T14:20:00,checkout,3220,ok,acct_132
ev_00261,2026-07-02T14:27:00,search,1021,ok,acct_117
ev_00262,2026-07-02T14:34:00,signup,1262,error,acct_121
ev_00263,2026-07-02T14:41:00,billing,2251,slow,acct_116
ev_00264,2026-07-02T14:48:00,export,3056,ok,acct_103
ev_00265,2026-07-02T14:55:00,dashboard,2471,ok,acct_122
ev_00266,2026-07-02T15:02:00,api,2963,ok,acct_106
ev_00267,2026-07-02T15:09:00,email,857,ok,acct_140
ev_00268,2026-07-02T15:16:00,upload,3102,ok,acct_106
ev_00269,2026-07-02T15:23:00,settings,2753,ok,acct_126
ev_00270,2026-07-02T15:30:00,checkout,3954,ok,acct_122
ev_00271,2026-07-02T15:37:00,search,3800,ok,acct_140
ev_00272,2026-07-02T15:44:00,signup,1953,slow,acct_105
ev_00273,2026-07-02T15:51:00,billing,617,ok,acct_102
ev_00274,2026-07-02T15:58:00,export,1320,ok,acct_122
ev_00275,2026-07-02T16:05:00,dashboard,3987,ok,acct_133
ev_00276,2026-07-02T16:12:00,api,770,ok,acct_115
ev_00277,2026-07-02T16:19:00,email,1810,ok,acct_112
ev_00278,2026-07-02T16:26:00,upload,2689,ok,acct_119
ev_00279,2026-07-02T16:33:00,settings,2999,error,acct_103
ev_00280,2026-07-02T16:40:00,checkout,3578,error,acct_121
ev_00281,2026-07-02T16:47:00,search,2217,ok,acct_136
ev_00282,2026-07-02T16:54:00,signup,3570,slow,acct_117
ev_00283,2026-07-02T17:01:00,billing,2132,slow,acct_127
ev_00284,2026-07-02T17:08:00,export,614,ok,acct_122
ev_00285,2026-07-02T17:15:00,dashboard,3133,ok,acct_101
ev_00286,2026-07-02T17:22:00,api,3491,slow,acct_132
ev_00287,2026-07-02T17:29:00,email,4020,ok,acct_136
ev_00288,2026-07-02T17:36:00,upload,585,ok,acct_127
ev_00289,2026-07-02T17:43:00,settings,391,ok,acct_105
ev_00290,2026-07-02T17:50:00,checkout,1280,slow,acct_105
ev_00291,2026-07-02T17:57:00,search,3622,error,acct_111
ev_00292,2026-07-02T18:04:00,signup,3864,ok,acct_107
ev_00293,2026-07-02T18:11:00,billing,656,slow,acct_105
ev_00294,2026-07-02T18:18:00,export,1031,ok,acct_122
ev_00295,2026-07-02T18:25:00,dashboard,604,ok,acct_136
ev_00296,2026-07-02T18:32:00,api,3814,ok,acct_128
ev_00297,2026-07-02T18:39:00,email,131,ok,acct_120
ev_00298,2026-07-02T18:46:00,upload,898,ok,acct_110
ev_00299,2026-07-02T18:53:00,settings,3896,error,acct_103
ev_00300,2026-07-02T19:00:00,checkout,1506,ok,acct_104
ev_00301,2026-07-02T19:07:00,search,3402,ok,acct_115
ev_00302,2026-07-02T19:14:00,signup,1947,ok,acct_109
ev_00303,2026-07-02T19:21:00,billing,1447,ok,acct_122
ev_00304,2026-07-02T19:28:00,export,2101,slow,acct_140
ev_00305,2026-07-02T19:35:00,dashboard,1761,slow,acct_119
ev_00306,2026-07-02T19:42:00,api,1261,ok,acct_133
ev_00307,2026-07-02T19:49:00,email,3060,ok,acct_134
ev_00308,2026-07-02T19:56:00,upload,3173,ok,acct_111
ev_00309,2026-07-02T20:03:00,settings,337,error,acct_106
ev_00310,2026-07-02T20:10:00,checkout,2468,ok,acct_131
ev_00311,2026-07-02T20:17:00,search,1295,ok,acct_140
ev_00312,2026-07-02T20:24:00,signup,3848,slow,acct_118
ev_00313,2026-07-02T20:31:00,billing,2871,ok,acct_140
ev_00314,2026-07-02T20:38:00,export,678,error,acct_112
ev_00315,2026-07-02T20:45:00,dashboard,1325,ok,acct_120
ev_00316,2026-07-02T20:52:00,api,909,ok,acct_111
ev_00317,2026-07-02T20:59:00,email,2527,error,acct_136
ev_00318,2026-07-02T21:06:00,upload,3284,slow,acct_130
ev_00319,2026-07-02T21:13:00,settings,2008,ok,acct_103
ev_00320,2026-07-02T21:20:00,checkout,1140,ok,acct_127
ev_00321,2026-07-02T21:27:00,search,3583,ok,acct_113
ev_00322,2026-07-02T21:34:00,signup,3369,ok,acct_138
ev_00323,2026-07-02T21:41:00,billing,3001,ok,acct_131
ev_00324,2026-07-02T21:48:00,export,2895,ok,acct_105
ev_00325,2026-07-02T21:55:00,dashboard,3778,ok,acct_117
ev_00326,2026-07-02T22:02:00,api,3682,ok,acct_118
ev_00327,2026-07-02T22:09:00,email,266,error,acct_105
ev_00328,2026-07-02T22:16:00,upload,478,slow,acct_123
ev_00329,2026-07-02T22:23:00,settings,671,error,acct_121
ev_00330,2026-07-02T22:30:00,checkout,810,error,acct_119
ev_00331,2026-07-02T22:37:00,search,3123,ok,acct_112
ev_00332,2026-07-02T22:44:00,signup,749,ok,acct_108
ev_00333,2026-07-02T22:51:00,billing,3939,ok,acct_115
ev_00334,2026-07-02T22:58:00,export,1939,ok,acct_133
ev_00335,2026-07-02T23:05:00,dashboard,1990,ok,acct_123
ev_00336,2026-07-02T23:12:00,api,514,slow,acct_115
ev_00337,2026-07-02T23:19:00,email,2053,error,acct_131
ev_00338,2026-07-02T23:26:00,upload,539,ok,acct_117
ev_00339,2026-07-02T23:33:00,settings,397,error,acct_107
ev_00340,2026-07-02T23:40:00,checkout,1059,ok,acct_131
ev_00341,2026-07-02T23:47:00,search,3669,slow,acct_121
ev_00342,2026-07-02T23:54:00,signup,190,slow,acct_132
ev_00343,2026-07-03T00:01:00,billing,3902,ok,acct_130
ev_00344,2026-07-03T00:08:00,export,1323,slow,acct_116
ev_00345,2026-07-03T00:15:00,dashboard,518,slow,acct_100
ev_00346,2026-07-03T00:22:00,api,3931,ok,acct_122
ev_00347,2026-07-03T00:29:00,email,3809,ok,acct_127
ev_00348,2026-07-03T00:36:00,upload,1164,ok,acct_107
ev_00349,2026-07-03T00:43:00,settings,371,error,acct_104
ev_00350,2026-07-03T00:50:00,checkout,1441,ok,acct_100
ev_00351,2026-07-03T00:57:00,search,4147,ok,acct_101
ev_00352,2026-07-03T01:04:00,signup,3312,ok,acct_112
ev_00353,2026-07-03T01:11:00,billing,2153,ok,acct_138
ev_00354,2026-07-03T01:18:00,export,1711,ok,acct_115
ev_00355,2026-07-03T01:25:00,dashboard,2958,ok,acct_129
ev_00356,2026-07-03T01:32:00,api,4040,slow,acct_130
ev_00357,2026-07-03T01:39:00,email,2605,error,acct_117
ev_00358,2026-07-03T01:46:00,upload,1027,ok,acct_137
ev_00359,2026-07-03T01:53:00,settings,129,slow,acct_124
ev_00360,2026-07-03T02:00:00,checkout,3637,ok,acct_117
ev_00361,2026-07-03T02:07:00,search,3098,ok,acct_102
ev_00362,2026-07-03T02:14:00,signup,2656,ok,acct_121
ev_00363,2026-07-03T02:21:00,billing,2433,slow,acct_119
ev_00364,2026-07-03T02:28:00,export,1075,ok,acct_134
ev_00365,2026-07-03T02:35:00,dashboard,603,ok,acct_133
ev_00366,2026-07-03T02:42:00,api,3677,ok,acct_113
ev_00367,2026-07-03T02:49:00,email,446,ok,acct_137
ev_00368,2026-07-03T02:56:00,upload,2243,ok,acct_125
ev_00369,2026-07-03T03:03:00,settings,787,error,acct_106
ev_00370,2026-07-03T03:10:00,checkout,1251,ok,acct_131
ev_00371,2026-07-03T03:17:00,search,3278,ok,acct_101
ev_00372,2026-07-03T03:24:00,signup,2197,ok,acct_121
ev_00373,2026-07-03T03:31:00,billing,2319,error,acct_100
ev_00374,2026-07-03T03:38:00,export,3098,ok,acct_127
ev_00375,2026-07-03T03:45:00,dashboard,280,slow,acct_101
ev_00376,2026-07-03T03:52:00,api,243,ok,acct_132
ev_00377,2026-07-03T03:59:00,email,68,ok,acct_107
ev_00378,2026-07-03T04:06:00,upload,1632,slow,acct_131
ev_00379,2026-07-03T04:13:00,settings,2338,ok,acct_115
ev_00380,2026-07-03T04:20:00,checkout,3196,ok,acct_127
ev_00381,2026-07-03T04:27:00,search,406,ok,acct_136
ev_00382,2026-07-03T04:34:00,signup,310,slow,acct_125
ev_00383,2026-07-03T04:41:00,billing,1104,ok,acct_134
ev_00384,2026-07-03T04:48:00,export,1535,error,acct_126
ev_00385,2026-07-03T04:55:00,dashboard,3938,ok,acct_117
ev_00386,2026-07-03T05:02:00,api,1936,ok,acct_111
ev_00387,2026-07-03T05:09:00,email,442,slow,acct_133
ev_00388,2026-07-03T05:16:00,upload,3046,slow,acct_126
ev_00389,2026-07-03T05:23:00,settings,2937,ok,acct_107
ev_00390,2026-07-03T05:30:00,checkout,3021,error,acct_117
ev_00391,2026-07-03T05:37:00,search,4063,slow,acct_139
ev_00392,2026-07-03T05:44:00,signup,3274,ok,acct_111
ev_00393,2026-07-03T05:51:00,billing,1258,ok,acct_111
ev_00394,2026-07-03T05:58:00,export,1137,error,acct_136
ev_00395,2026-07-03T06:05:00,dashboard,2912,ok,acct_104
ev_00396,2026-07-03T06:12:00,api,1516,ok,acct_104
ev_00397,2026-07-03T06:19:00,email,221,ok,acct_118
ev_00398,2026-07-03T06:26:00,upload,3551,ok,acct_129
ev_00399,2026-07-03T06:33:00,settings,3335,ok,acct_101
ev_00400,2026-07-03T06:40:00,checkout,3990,error,acct_117
ev_00401,2026-07-03T06:47:00,search,3028,error,acct_104
ev_00402,2026-07-03T06:54:00,signup,3778,ok,acct_118
ev_00403,2026-07-03T07:01:00,billing,2078,ok,acct_116
ev_00404,2026-07-03T07:08:00,export,1069,ok,acct_103
ev_00405,2026-07-03T07:15:00,dashboard,3637,ok,acct_108
ev_00406,2026-07-03T07:22:00,api,2693,ok,acct_104
ev_00407,2026-07-03T07:29:00,email,2460,slow,acct_121
ev_00408,2026-07-03T07:36:00,upload,3964,ok,acct_101
ev_00409,2026-07-03T07:43:00,settings,3121,slow,acct_137
ev_00410,2026-07-03T07:50:00,checkout,2327,ok,acct_105
ev_00411,2026-07-03T07:57:00,search,3907,slow,acct_124
ev_00412,2026-07-03T08:04:00,signup,3368,ok,acct_119
ev_00413,2026-07-03T08:11:00,billing,3506,error,acct_122
ev_00414,2026-07-03T08:18:00,export,3640,ok,acct_128
ev_00415,2026-07-03T08:25:00,dashboard,3798,ok,acct_140
ev_00416,2026-07-03T08:32:00,api,3284,ok,acct_111
ev_00417,2026-07-03T08:39:00,email,2707,slow,acct_115
ev_00418,2026-07-03T08:46:00,upload,4181,slow,acct_103
ev_00419,2026-07-03T08:53:00,settings,3162,ok,acct_132
ev_00420,2026-07-03T09:00:00,checkout,3854,ok,acct_129
